Kata,Frekuensi
jokowi,2
ragu,2
sukses,2
mental,2
ngejar,2
mempersulit,2
hayat,2
nafa,2
bobrok,2
antri,2
perkara,2
ayah,2
berjuta,2
misi,2
memakan,2
tengok,2
kasar,2
jawa,2
nguli,2
madura,2
merantau,2
tampa,2
dialokasikan,2
kekuasaan,2
ditangan,2
tindakan,2
pakein,2
goblog,2
taat,2
taruhanya,2
menafkahi,2
royalti,2
kemakmuran,2
mengadili,2
diskon,2
kera,2
ngaruh,2
modern,2
online,2
jangn,2
ngehidupin,2
merekakita,2
amit,2
inipun,2
kcl,2
dijajah,2
rakyar,2
cinta,2
pati,2
sensara,2
tuman,2
arek,2
anjrit,2
hayang,2
duitmu,2
abisin,2
mukin,2
terkenal,2
fake,2
permasalahkan,2
ker,2
mutar,2
sudahh,2
merajalela,2
sosmed,2
alamnya,2
haji,2
pemerataan,2
revolusi,2
for,2
sembuh,2
betull,2
serah,2
oi,2
saudaranya,2
jemput,2
teko,2
kene,2
koe,2
menyesak,2
dadi,2
trnyta,2
rajin,2
yallah,2
mengomongkan,2
melejit,2
disetiap,2
busuk,2
endi,2
secuil,2
hahaa,2
demit,2
enek,2
dipangkas,2
kiamat,2
taraf,2
fb,2
woyyyy,2
buser,2
dibuang,2
dower,2
nnya,2
ngangkat,2
asisten,2
naiknya,2
memahaminya,2
semudah,2
menerapkan,2
singkat,2
sesuaikan,2
bersuara,2
terlantar,2
dsb,2
ruko,2
nice,2
er,2
mempertaruhkan,2
dirasakan,2
nafkah,2
bapaklu,2
serlok,2
gajii,2
kebanyakn,2
kotoran,2
soekarno,2
zaman,2
rakyattt,2
sek,2
kedepannya,2
kringet,2
prawobo,2
ingatkah,2
cermin,2
jelangkung,2
bertindak,2
menyebabkan,2
karn,2
katamu,2
proses,2
pertiga,2
damai,2
melanggar,2
dompetnya,2
antarkan,2
dalem,2
sopan,2
menit,2
menghitung,2
pamit,2
tarik,2
pagar,2
macet,2
jutalah,2
termiskin,2
hikmahnya,2
perbaikan,2
kepilih,2
nasional,2
terkumpul,2
balas,2
susa,2
menjamin,2
kenyamanan,2
gajine,2
umumkan,2
sebulann,2
tlpn,2
sellu,2
sekolahkan,2
kerakyat,2
memperbanyak,2
tki,2
kayayg,2
nyekek,2
mewahlihat,2
roboh,2
msarakat,2
manja,2
benget,2
jetiii,2
uka,2
mnh,2
ngarti,2
tepatnya,2
gubernur,2
ornag,2
ee,2
mencalon,2
rejeki,2
goyang,2
berfungsi,2
priode,2
komisaris,2
anggran,2
jalema,2
aya,2
oalah,2
mengambil,2
membiayai,2
kerok,2
dpruud,2
izin,2
langit,2
murka,2
ngawur,2
pembuatnya,2
menindas,2
menekan,2
lubang,2
ln,2
rakyatt,2
psar,2
yatim,2
google,2
dibantu,2
blt,2
koto,2
tiada,2
edaan,2
power,2
kis,2
berit,2
pdi,2
seharus,2
dicabut,2
sukur,2
nyocot,2
apresiasi,2
penghargaan,2
blok,2
melonjak,2
woyy,2
datengin,2
sarang,2
menilai,2
ngeledek,2
copot,2
meng,2
cumaaaan,2
disisi,2
pakkkkk,2
serumah,2
simpanan,2
jagung,2
ludes,2
singkong,2
com,2
dicukupkan,2
pajek,2
sepi,2
paaaak,2
error,2
ngabdi,2
kondangan,2
srimulyani,2
lihatnya,2
tega,2
zmn,2
kekenyangan,2
menghemat,2
ngangur,2
slot,2
tidurr,2
setandar,2
blakan,2
sabtu,2
pertamax,2
transport,2
yutub,2
fullnya,2
terkecoh,2
lngsng,2
kabinet,2
merujuk,2
pidato,2
kgk,2
truck,2
saudaraku,2
jasanya,2
setengahnya,2
iseng,2
aduhhhh,2
yudha,2
brama,2
jambi,2
mong,2
drpda,2
sari,2
kristal,2
bekal,2
domba,2
giru,2
bersatu,2
membahas,2
kerumah,2
demonya,2
mbledosss,2
meletus,2
mukanya,2
kasianin,2
sinetron,2
masyarakt,2
taunya,2
biji,2
sepiring,2
dzolim,2
cumak,2
kj,2
dirapel,2
gppa,2
ati,2
diperas,2
mandiri,2
gang,2
fikirkan,2
lontong,2
bebankan,2
tensi,2
allohhhhh,2
gi,2
anakku,2
pebisnis,2
nebus,2
maren,2
ngepet,2
diwakilkan,2
sngat,2
itukan,2
tertera,2
miting,2
ampaw,2
koropsinya,2
triliunan,2
kelapangan,2
viti,2
rencananya,2
nominal,2
madang,2
dedy,2
ples,2
menyakitkan,2
pupuk,2
kunyah,2
seliter,2
gawe,2
dinosaurus,2
buanyakk,2
jbatan,2
mengalah,2
muliani,2
gr,2
semuak,2
pohon,2
cumacuma,2
disetujui,2
ujung,2
mengarah,2
mikirnya,2
berguru,2
insyaallah,2
menku,2
memecah,2
disesuaikan,2
kerasnya,2
dipertahankan,2
betas,2
mengendalikan,2
jokes,2
go,2
membedakan,2
nyekik,2
pr,2
gudang,2
dewasa,2
ijin,2
nyenyak,2
minatlebih,2
pinterlebih,2
meja,2
berhari,2
yatunjangan,2
wapres,2
cewek,2
introspeksi,2
paripurna,2
berrti,2
rbhari,2
zakat,2
busung,2
pakir,2
adili,2
sebenar,2
logikanya,2
bagaiman,2
jakrta,2
subhanallah,2
kasbon,2
produktif,2
termahal,2
belasan,2
oplos,2
perah,2
apek,2
perbedaan,2
gubris,2
anggaplah,2
berhitung,2
tersenyum,2
kada,2
udang,2
kit,2
papan,2
cumaaaaa,2
cumannn,2
harinya,2
anjjjjj,2
mengaji,2
tunjungannya,2
seleksi,2
melindungi,2
agen,2
sedekah,2
kumpulin,2
paak,2
suudzon,2
hidupmu,2
dapetnya,2
bon,2
menetu,2
usahanya,2
tggung,2
penghasilannya,2
tahan,2
disembunyikan,2
perang,2
intansi,2
kbh,2
piring,2
lelah,2
membaca,2
kakek,2
keponakan,2
pesawat,2
sound,2
kerjo,2
olh,2
cumaaaa,2
lahap,2
wg,2
juragan,2
gd,2
kasihanin,2
nagara,2
pe,2
menggila,2
tulungagung,2
ngakal,2
kiri,2
keterima,2
include,2
embel,2
syukur,2
beas,2
dar,2
rbkg,2
rban,2
on,2
ketenagakerjaan,2
berduit,2
kamera,2
kerjaanya,2
tuku,2
trkadang,2
keselamatan,2
samp,2
wajahnya,2
kuping,2
nunjang,2
posisi,2
dsruh,2
istrisuami,2
tiduran,2
jtbiar,2
dorong,2
lur,2
kasiannya,2
search,2
infonya,2
depo,2
lebihh,2
sebagus,2
tipis,2
mehong,2
wagyu,2
mukbang,2
meledak,2
rskyat,2
pribadinya,2
basah,2
mentok,2
tas,2
hermes,2
banter,2
himalaya,2
gendut,2
nampung,2
mengalahkan,2
dingin,2
ghoib,2
setau,2
blnnya,2
siswa,2
negoro,2
gais,2
manasin,2
jet,2
musisi,2
pura,2
kabarnya,2
perkilo,2
dolar,2
stabil,2
keunganan,2
smntra,2
karungnya,2
samasama,2
ditekan,2
komponen,2
by,2
pbb,2
terbebani,2
point,2
sepemikiran,2
ngubur,2
emh,2
tunjangny,2
solo,2
heppy,2
passan,2
oya,2
duga,2
geloooo,2
dikenakan,2
dnger,2
hedon,2
awakmu,2
melu,2
koyok,2
klaparan,2
sdikit,2
ketimbang,2
pakberas,2
gagal,2
pntg,2
hiya,2
kelontong,2
terkadang,2
ditanam,2
dikemas,2
love,2
sekli,2
rezekinya,2
untungan,2
bray,2
bebanin,2
bandung,2
belm,2
mereun,2
anjjjj,2
parttime,2
penipuan,2
nkri,2
kurus,2
matanya,2
susu,2
produk,2
sadari,2
santunan,2
tanam,2
nikmat,2
jutadi,2
perjam,2
puter,2
rayat,2
gaju,2
menahan,2
naim,2
beratnya,2
budget,2
wangi,2
selebihnya,2
panting,2
perhitungan,2
woilah,2
umroh,2
ups,2
siapin,2
didepan,2
berdoa,2
kidding,2
hehehehe,2
beruk,2
membangun,2
merk,2
gelas,2
srakah,2
murni,2
kmbli,2
ditotal,2
ketakutan,2
sekop,2
shari,2
gae,2
sarapan,2
kerumahnya,2
buyut,2
nganti,2
picek,2
menurun,2
tiadakan,2
jwbn,2
mnjd,2
unt,2
sbuln,2
nurut,2
ttd,2
diridhoi,2
tingkat,2
dwit,2
usung,2
rumit,2
doyan,2
tuli,2
aspirasinya,2
intan,2
plng,2
biarpun,2
tetangga,2
cicit,2
dampak,2
sendirirakyat,2
ubi,2
belas,2
dasarnya,2
berbasis,2
menyenangkan,2
malang,2
cumaaaaaa,2
istigfar,2
bersyukurnya,2
kolor,2
logam,2
bubuk,2
pabriknya,2
pinkan,2
mambo,2
tembolok,2
mentah,2
tulus,2
tunjanga,2
variabel,2
dibutuhkan,2
kanggo,2
mundak,2
sinkron,2
pantastis,2
ump,2
orangrakyat,2
mi,2
skan,2
dijual,2
platform,2
survei,2
greget,2
woiiii,2
serap,2
merekan,2
kenakalan,2
diimpor,2
puasa,2
ngapak,2
ana,2
brasmati,2
tahi,2
bertiga,2
berpolitik,2
hina,2
sebelah,2
trm,2
ampir,2
woii,2
kghari,2
nyampek,2
kurleb,2
pembelajaran,2
yan,2
lainlain,2
dikurangi,2
tunjangann,2
genap,2
mudahan,2
gu,2
pembantu,2
nambahin,2
hapal,2
ari,2
kitu,2
dibyr,2
nitizen,2
fa,2
kenpa,2
wa,2
jejak,2
lahannya,2
shoping,2
tnggung,2
berbuat,2
berpa,2
ngpain,2
batas,2
menyelamatkan,2
penggajian,2
administratif,2
acara,2
kursinya,2
berbagi,2
genderuwo,2
top,2
kinerjanya,2
dijakarta,2
membengkak,2
spontan,2
pungli,2
yaorang,2
pertanggungan,2
hi,2
tetangganya,2
kawannya,2
anggta,2
tunjngan,2
namakan,2
melilit,2
rupa,2
belida,2
ditutup,2
padhal,2
segini,2
pajero,2
l,2
istimewanya,2
melawak,2
pasir,2
yayasan,2
tuan,2
bosqu,2
loba,2
wih,2
isa,2
ws,2
dibuatin,2
percayaa,2
pakyang,2
pembayar,2
ikutan,2
briefing,2
inti,2
dokumen,2
bul,2
stelan,2
jatohnya,2
palak,2
peraturan,2
perumahannya,2
prcaya,2
mengelabuhi,2
sorot,2
dialihkan,2
mutasi,2
bosbukan,2
tahunkok,2
intensif,2
dpri,2
orgnya,2
meninggalkan,2
mubazir,2
menempati,2
rumahbukan,2
ngontraknya,2
kurasa,2
salh,2
hhhh,2
menenangkan,2
sdngkan,2
jdnya,2
ngirit,2
dicicil,2
densu,2
memanas,2
ditutupi,2
surut,2
ketahui,2
bosku,2
menipu,2
tidk,2
perlihatkan,2
pemilihnya,2
bijaksana,2
kontribusi,2
sch,2
misinya,2
bodohbodohin,2
jabatanya,2
diumumkan,2
membawa,2
dprrakyat,2
validasi,2
gimanapun,2
gaj,2
tempatkan,2
kempas,2
kempis,2
darimana,2
kerjax,2
tubuh,2
menuntut,2
merwka,2
dikalibata,2
pinjam,2
wilayah,2
rubuh,2
deui,2
kelit,2
podcas,2
tunjangam,2
hsil,2
alasannya,2
permasalahan,2
audit,2
taman,2
pertahunnya,2
nyiapin,2
perawatan,2
dibalik,2
ditangkap,2
nopember,2
brati,2
secepatnya,2
ngekost,2
sistemnya,2
ayat,2
cebok,2
pencuri,2
ringan,2
repot,2
adis,2
bolak,2
antek,2
kuasa,2
doremon,2
dermawan,2
berbanding,2
kebijakannya,2
dipegang,2
dtng,2
hem,2
again,2
lelucon,2
terapkan,2
temui,2
pondok,2
ditipu,2
awas,2
xx,2
diperpanjang,2
ttl,2
bersilat,2
satwa,2
milyat,2
keperluan,2
xbln,2
awasi,2
pakper,2
jtxbln,2
ular,2
sasaran,2
membenarkan,2
opini,2
terkesan,2
muh,2
nok,2
congore,2
komn,2
intine,2
barak,2
mbulet,2
kota,2
iblis,2
tampilan,2
tenda,2
kecolongan,2
bosnya,2
kelewatan,2
bosok,2
pengganti,2
meeting,2
putus,2
kekacauan,2
tercekik,2
kejujuran,2
tinggalkan,2
heboh,2
lier,2
tipe,2
jarah,2
semen,2
bulus,2
benda,2
hadehhh,2
gedabrus,2
direvisi,2
buru,2
anggaranya,2
kolo,2
mundur,2
keteranganya,2
konyol,2
urgensinya,2
kebesaran,2
ngasal,2
transparansinya,2
dibicarakan,2
apkah,2
mode,2
az,2
adies,2
berbohong,2
cicil,2
dirugikan,2
kesenggangan,2
kesebar,2
penonton,2
diatur,2
drama,2
binasa,2
usir,2
kontrkan,2
kejadian,2
setahunnya,2
teori,2
ruma,2
milliar,2
disana,2
mmpuh,2
asnpns,2
masuknya,2
layaknya,2
mentereng,2
provokasi,2
pco,2
catat,2
besarannya,2
aktif,2
akh,2
kotrak,2
belok,2
jtx,2
plan,2
setaon,2
hspuskan,2
bulandpr,2
jl,2
sawit,2
asem,2
jago,2
mendinginkan,2
negararakyat,2
seandaix,2
spya,2
dikemanakan,2
dikasikan,2
dprapa,2
cocote,2
disewa,2
gomong,2
kosongkan,2
efek,2
kreatif,2
kepublik,2
rapi,2
kedelai,2
pakar,2
kanak,2
kader,2
berkepanjangan,2
ekspor,2
singapor,2
dipajaki,2
dalih,2
diawal,2
ketuk,2
palu,2
ngelas,2
pensiunnya,2
sesusah,2
stasiun,2
tv,2
khilaf,2
kacung,2
wakilkan,2
kertas,2
kebijakkannya,2
badut,2
diklarifikasi,2
bentuknya,2
titikkkk,1
indonesiaa,1
istilahnya,1
kbulan,1
fasilitasi,1
literally,1
berbulan,1
lamanyaaa,1
wifi,1
gajirakyat,1
senanglah,1
khdpan,1
dprbuat,1
gaban,1
planga,1
plongo,1
teganya,1
tangisanku,1
aseptus,1
kabarin,1
ketinggalan,1
antisipasi,1
petasan,1
terwujud,1
mageran,1
mager,1
irt,1
kbrin,1
salahsatunya,1
ttapiii,1
gabayar,1
ppb,1
ihklaskalo,1
deadline,1
kejaran,1
ancaman,1
bayarpajak,1
supermarketpun,1
uruss,1
sbrp,1
bersamaan,1
dipinggir,1
adilan,1
bebaskan,1
kemiskinandan,1
majutapi,1
mnguras,1
pkiran,1
memkirkan,1
subuh,1
keluh,1
jadikah,1
berfoya,1
berhamburan,1
negeriku,1
adilkah,1
bangtt,1
setra,1
btw,1
berkumis,1
uban,1
parani,1
goleki,1
salahe,1
pemutihan,1
dukuh,1
menarik,1
rokok,1
tambahi,1
cacingan,1
banteng,1
ajal,1
menjemput,1
diperjual,1
kepmimpinn,1
karuan,1
kesanya,1
aji,1
wkwkkw,1
nganggurkita,1
praboowo,1
wwkwk,1
prbowo,1
jokwi,1
buahnya,1
ancurr,1
niatnya,1
stngnya,1
diupayakan,1
lanjutan,1
ppg,1
muridnya,1
berkualitas,1
perpilih,1
pemilihhya,1
kawal,1
atasannya,1
dibegoin,1
miskinin,1
dikendalikan,1
sodaranya,1
sebegitunya,1
maha,1
esa,1
imbas,1
perjuangaan,1
becek,1
berlumpur,1
tba,1
ngotakkk,1
perawat,1
srimul,1
tauk,1
berasal,1
didik,1
sependapat,1
kaksaya,1
sekarangitu,1
initoh,1
kuliahjadi,1
berpikirlah,1
lhah,1
makas,1
nyekolahin,1
nyesekk,1
dada,1
mnsejahtrakan,1
ditiadakn,1
kpentingn,1
rkyatumr,1
dinaikn,1
mirisnya,1
menyadari,1
perbuat,1
diruqyah,1
mempan,1
gitumereka,1
bhinatankkk,1
istidraj,1
takutkah,1
iye,1
ditelpon,1
goceng,1
ssbulan,1
kekeh,1
diadili,1
lamaaaa,1
bertato,1
meniru,1
taufik,1
wal,1
hadiyah,1
capeeee,1
potongannya,1
tanggunganmakin,1
kepikiran,1
seada,1
stresssss,1
ungkit,1
akherattttt,1
jumpa,1
tersiksa,1
cpek,1
yaallaah,1
gejolaknya,1
fokuskan,1
kedaulatan,1
rip,1
gilaan,1
nglunjak,1
anjirt,1
wuy,1
naikberarti,1
meningkat,1
kernya,1
jogget,1
rasnya,1
dgaji,1
jutasebulan,1
dkurangi,1
dtambah,1
lont,1
club,1
haus,1
kerjaxa,1
alien,1
beruntung,1
rhoma,1
irama,1
larinya,1
meningal,1
mempertangung,1
dihisab,1
nnati,1
diobrak,1
abrik,1
apav,1
gelandang,1
manamasih,1
menghujat,1
benefit,1
sulap,1
salaman,1
lap,1
ingusnya,1
paokkomen,1
singapore,1
mainn,1
kencurr,1
munduran,1
guyoh,1
rong,1
lempeng,1
ngpo,1
gereget,1
kecilin,1
gapoknya,1
cerai,1
ambisi,1
diwawancara,1
stlah,1
kmudian,1
mmprtnyakan,1
mnyebutkan,1
kbnran,1
dptong,1
listtik,1
menampar,1
menyuarakn,1
imbng,1
tetes,1
syok,1
moco,1
degn,1
allh,1
susmi,1
kawa,1
terealisasikan,1
gass,1
tersalurkan,1
maki,1
dihalalkan,1
semingguan,1
kesiapa,1
gamakan,1
gamungkin,1
perbulanbulan,1
sakkarep,1
wokwok,1
gembira,1
menyambut,1
ranah,1
sesua,1
melengserkan,1
timbang,1
kasihkan,1
ajaakn,1
bangkan,1
lhoookita,1
tulangmereka,1
dulure,1
ngomonge,1
idh,1
burhan,1
cie,1
kakyk,1
lainx,1
taruhanx,1
mbuat,1
mnderita,1
prettt,1
ngejokes,1
wkwkwkhahaha,1
kampanyenya,1
bsu,1
rbjaman,1
penghakiman,1
haduhh,1
teros,1
mkasih,1
rell,1
sc,1
pacar,1
pencoblosan,1
pajar,1
biyarin,1
nambhin,1
walang,1
sangit,1
merem,1
senyum,1
uji,1
mentalnya,1
kerasyg,1
lembutsantai,1
apakan,1
kalem,1
krupsi,1
ksulitan,1
disalah,1
apasi,1
gowo,1
hartatahtadan,1
kekal,1
abadi,1
harusss,1
pinggang,1
kay,1
jak,1
ssegalanya,1
kuda,1
urbach,1
kocaggg,1
tbtb,1
gajihan,1
senasib,1
laut,1
nombokliat,1
huhu,1
enggaa,1
bayr,1
ihlas,1
smahal,1
bulanlbih,1
strusnya,1
alokasi,1
tarunkan,1
kruptor,1
syukurlah,1
melemahgaji,1
babat,1
dibebaskan,1
gedungnya,1
saksi,1
ancam,1
gelapan,1
detik,1
benerse,1
gaadil,1
tdii,1
iyya,1
jengkel,1
modalny,1
malaysia,1
ijasah,1
keterampilan,1
besoknya,1
binasakan,1
zholim,1
sendiriii,1
sepenuh,1
ntahlah,1
yess,1
rekap,1
bayangkn,1
jlh,1
mrekap,1
mmbuat,1
simpulan,1
eksekusinya,1
mar,1
dimanenyaaa,1
obbbattt,1
sejahterangakk,1
muklau,1
kumis,1
cuihhh,1
burhangak,1
dimnamna,1
ngeriiii,1
hikks,1
crtnya,1
astagaaaaa,1
how,1
dare,1
bjiir,1
diterusin,1
ocehanya,1
nyleneh,1
patesan,1
difisit,1
dilebihi,1
lebihkan,1
langsungkan,1
busettt,1
beratus,1
emanglah,1
kebahagiaanmu,1
pendapatmu,1
mengadakan,1
mmgnya,1
jeliti,1
padeee,1
kelmaaan,1
kaksecepatnya,1
lstrik,1
njiirrrr,1
saaat,1
herann,1
sayembra,1
benerrrrpadahal,1
komuknye,1
empeet,1
nye,1
buserkerjanya,1
nyamar,1
byrn,1
tggapi,1
kuman,1
iyadimana,1
anjji,1
gaknya,1
spa,1
lagipresiden,1
voting,1
kebalikannyapara,1
hidupselama,1
munyumbangkan,1
tentram,1
mlahan,1
bisalahh,1
epek,1
sekaliii,1
inshaallah,1
dipertimbangkan,1
patient,1
nyarinya,1
kebutuhannya,1
heheh,1
gajimu,1
hehhh,1
cairr,1
berbondongbondong,1
jamhari,1
kkminus,1
zolimnya,1
asam,1
atris,1
punggung,1
kerjalah,1
kebalikan,1
asing,1
r,1
keta,1
aassu,1
isoh,1
nyalinya,1
agustus,1
mainmain,1
menarii,1
kesamper,1
isiny,1
dahsyat,1
kepancing,1
prindapan,1
profil,1
tertinggal,1
makluk,1
agamanya,1
kristen,1
sebahagian,1
rimba,1
megachan,1
hokage,1
aki,1
gajadi,1
ngelengserkan,1
masihskrg,1
keberadaan,1
sartifikat,1
baka,1
ahok,1
mamak,1
beranak,1
permisa,1
diman,1
dazal,1
ramaikan,1
macemmacem,1
mewaakili,1
team,1
utus,1
menghasut,1
nglacak,1
kunyuk,1
nyesesel,1
nyobok,1
derita,1
owalah,1
nngis,1
gakih,1
sbnr,1
senen,1
kemis,1
masyarakatdpr,1
kaleng,1
segalanyaa,1
apasiii,1
tipa,1
tepuk,1
wallahi,1
ajayang,1
mnurt,1
memikir,1
nyri,1
sebgai,1
nonggall,1
orgheran,1
jailangkung,1
akibatnya,1
jogetjoget,1
kedilan,1
acc,1
presidennya,1
musuh,1
ngek,1
ngekan,1
gelombang,1
unjuk,1
isu,1
titk,1
konsentrasi,1
nikmatilah,1
pray,1
lekas,1
smngt,1
cong,1
kura,1
ninja,1
emx,1
memandang,1
manaserius,1
mahkota,1
king,1
gth,1
dampakya,1
denda,1
nnyn,1
tik,1
yahahaha,1
culik,1
deteksi,1
nomer,1
siber,1
terlidungi,1
shubuh,1
nguntungin,1
keerja,1
yabisa,1
trutusan,1
haramsuka,1
asuh,1
nilainya,1
berpunya,1
oohh,1
ramalan,1
hard,1
gumay,1
kinerjacara,1
teken,1
menyimak,1
je,1
nyalek,1
indonesiasemakin,1
hancursemakin,1
petinggimemikirkan,1
memuliakan,1
terendah,1
samsul,1
incaran,1
hacking,1
yeahh,1
rakyak,1
gaikhlasss,1
minder,1
uy,1
dipukulrata,1
sh,1
noticemau,1
indonesianya,1
menangkap,1
bocahhh,1
nangka,1
tr,1
ahli,1
mucung,1
omah,1
mlum,1
jtcoba,1
jtsungguh,1
adilseharusnya,1
besarsedangkan,1
nyakacau,1
menderitakan,1
negra,1
awkmu,1
gentayagan,1
brooke,1
cam,1
care,1
dowank,1
rakyatmereka,1
nunjuk,1
buburkan,1
cokrakyat,1
ngmis,1
keja,1
sesakit,1
berkembang,1
kondisikan,1
geramm,1
diindo,1
dapatin,1
semarah,1
dipertanggung,1
hehe,1
naikantrus,1
manapenjajahan,1
bakaln,1
apasii,1
kbnykan,1
manusa,1
munyok,1
siji,1
tampek,1
programnya,1
mengamini,1
gerombolan,1
any,1
kandangin,1
anisini,1
tlk,1
dimnan,1
suruhn,1
comment,1
biarian,1
inidi,1
aring,1
perindapan,1
nesssss,1
plutooo,1
sampee,1
bgitunyaa,1
disurug,1
bangku,1
lbumu,1
bertanggungjawab,1
malaikat,1
tanggepin,1
menamba,1
kingkong,1
bazzer,1
ketidaknyamanannya,1
kabur,1
berlimpah,1
cekek,1
mendalam,1
infokan,1
yasonna,1
laoly,1
yakklo,1
mementingkan,1
ibrat,1
selengkap,1
meluangkan,1
subjek,1
menghindari,1
teknis,1
mengirimkannya,1
pertamatama,1
alami,1
dituju,1
rasional,1
meninjau,1
penggunaan,1
prinsip,1
prinsipprinsip,1
bobot,1
mendukungnya,1
mengilustrasikan,1
penalaran,1
menerapkannya,1
fisika,1
kimia,1
biologi,1
berkaitan,1
seharihari,1
ringkasan,1
kacaw,1
sepucuk,1
yarobb,1
undur,1
runtuhkan,1
mnderitaa,1
meroket,1
mikul,1
rocky,1
gerung,1
krisdyanti,1
bengkak,1
lahmodalnya,1
tabungan,1
sleep,1
taukan,1
kelean,1
swedia,1
deper,1
pedulikan,1
kesenangan,1
dipaksa,1
lansia,1
nasikotak,1
ingga,1
negarajogetin,1
haness,1
menjiplak,1
rombongan,1
rais,1
munculngomong,1
seeenak,1
jidatnya,1
ir,1
ign,1
nabi,1
muhammad,1
tidurnya,1
beralaskan,1
pelepah,1
kurma,1
hisab,1
wakilll,1
gerakin,1
gwuennndenggg,1
rekkkk,1
resikone,1
yoopo,1
nyowo,1
uwong,1
melayang,1
ngantek,1
jutaaaaaa,1
petinggicoba,1
angotaan,1
urgency,1
utamakan,1
hidupdengan,1
cukupi,1
ngucur,1
efisensi,1
berfoyafoya,1
omonomon,1
najwa,1
aturlah,1
dibalikin,1
vqrkn,1
parakang,1
terselamatkan,1
tragedi,1
gs,1
jamannya,1
arwah,1
kuyang,1
dibela,1
usang,1
mimpin,1
tips,1
jiwapajak,1
mrnkeu,1
hsilnya,1
mancari,1
ojek,1
patah,1
dapa,1
jogednya,1
npintar,1
aranah,1
melengser,1
kanprabowo,1
mahasiswa,1
ran,1
tahta,1
kdudukan,1
hooh,1
gih,1
aiihhh,1
hasilkah,1
biyayai,1
sibagong,1
bozzzzzzzzz,1
memikirkn,1
sembarangan,1
besarbesaran,1
membekukan,1
benarbenar,1
gabungan,1
dihadiri,1
satusatunya,1
mengubah,1
petisi,1
barulah,1
kudeta,1
kekerasan,1
krisis,1
demolalu,1
kubuka,1
jtklo,1
jutek,1
menemukan,1
sandingkan,1
kue,1
pamitdan,1
bilangibu,1
semuaemang,1
kemanakatanya,1
bangetsaya,1
pahpahbangun,1
pah,1
kesiangan,1
terbangun,1
bengong,1
uwalaternyata,1
putri,1
kelewatandagang,1
sepiusaha,1
sepikerja,1
kecilliat,1
benergaji,1
listri,1
presidenpak,1
membubar,1
dilengserkan,1
melaporkan,1
dekrit,1
prabowodan,1
menanggapi,1
banyakn,1
orchestra,1
panaspanas,1
kringetan,1
bnykk,1
menterinya,1
tindas,1
iri,1
jogetan,1
pakseolah,1
pnderitaan,1
kegembiraan,1
sakral,1
manari,1
menyepelekan,1
makek,1
jogetntar,1
jogetnya,1
sdr,1
setarakan,1
cecil,1
menderitaapa,1
gan,1
situlah,1
terbalik,1
obatnya,1
supir,1
berhemat,1
melemah,1
diarahkan,1
hoe,1
pesuruh,1
years,1
rayak,1
reyot,1
jelbab,1
masyaallahtolong,1
dijlnpemulung,1
rpr,1
ungghno,1
magang,1
rakyatharusnya,1
attitude,1
orens,1
bertnya,1
anggarkantunggu,1
sajamrk,1
dikabupaten,1
rusakk,1
frozen,1
exdb,1
susut,1
bankrupt,1
tuuuuuuh,1
tuuuuuhhhh,1
gaterima,1
telak,1
gim,1
terjang,1
jaminan,1
kwe,1
kie,1
cpo,1
takyat,1
mt,1
rwah,1
brunan,1
mak,1
emaknya,1
dongo,1
gasss,1
bpkibu,1
dpryg,1
disumbangkan,1
layakhidup,1
didunia,1
selamanyabagus,1
diindonesia,1
inibiar,1
kenegara,1
bangsolusinya,1
suruhan,1
cyberr,1
sayamaaf,1
khusnul,1
khatimah,1
antu,1
banyu,1
ado,1
dmno,1
menderitak,1
kecill,1
diperes,1
tnipolri,1
tahunharus,1
geas,1
kecilll,1
ikhlassss,1
hum,1
inpo,1
smpek,1
dikasihlucu,1
yw,1
haloooo,1
akl,1
sharus,1
perbanyak,1
naiki,1
amattttt,1
konohakonoha,1
ngenessss,1
awan,1
jtanasib,1
tekan,1
nuggu,1
hadapan,1
weleh,1
welehh,1
healing,1
panggabean,1
bujur,1
under,1
bcahh,1
geus,1
icing,1
ntong,1
sagala,1
pipilueun,1
heuteu,1
bikinan,1
diparalel,1
ngacau,1
lurahcamat,1
walikota,1
penyok,1
dsmua,1
angkasa,1
mukak,1
pajang,1
dprdi,1
bariskan,1
mamalia,1
uange,1
negorone,1
ruwettttt,1
cacian,1
makian,1
enka,1
propinsi,1
bupati,1
camat,1
ss,1
sampingnya,1
akui,1
gen,1
bismillah,1
gitumelihat,1
rakyatserius,1
rakyaaaat,1
sejahterraa,1
maennn,1
ggak,1
pencucian,1
puruk,1
tanaman,1
berdampak,1
hukumnya,1
lambhorgini,1
wibu,1
kuh,1
meronta,1
segelintir,1
melaratgimna,1
semntara,1
lianlahat,1
dilist,1
mul,1
guruguru,1
pppkhonordll,1
dpraset,1
peluang,1
bsr,1
tidakk,1
diladeni,1
orag,1
novi,1
oray,1
jurig,1
sigana,1
jeruk,1
putut,1
terang,1
menyebutnya,1
timbal,1
pertnyaannya,1
bubarintrus,1
setujui,1
presidenyang,1
girang,1
lebur,1
laailaaha,1
ilaa,1
anta,1
subhanaka,1
kuntumminadzolimin,1
hadehtunjangan,1
manjabat,1
sedangakan,1
membuatnya,1
dilahirkan,1
pembuat,1
ingatlah,1
pena,1
gores,1
hatihati,1
jeritan,1
menembus,1
mengetuk,1
pintu,1
telanjang,1
ketidakwarasan,1
